% type=behavior bar chart
% title=
% xlabel=group
% ylabel=Aggregation (%)


% raw data
% individual A
% group dark
701, 1150, 967, 1609, 614, 2407, 508, 612, 794, 835, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% individual A
% group light
% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T125530
% frames labelled
9101, 10347, 5722, 5700, 8931, 13220, 14345, 11558, 4970, 7465, 
% frames total
27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T125532
% frames labelled
574, 3500, 1391, 6155, 988, 7512, 6212, 2882, 8487, 3640, 
% frames total
27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T125537
% frames labelled
4472, 8667, 10694, 8554, 1124, 6837, 4352, 4051, 7893, 4580, 
% frames total
27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 27004, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T125538
% frames labelled
2691, 8550, 1941, 3189, 1458, 3307, 2842, 9074, 10278, 2505, 
% frames total
27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T131824
% frames labelled
1624, 2198, 453, 5419, 7297, 1719, 6892, 3683, 1106, 5153, 
% frames total
27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T131836
% frames labelled
8882, 5488, 4342, 3594, 2558, 5532, 4661, 5273, 10845, 3236, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T131852
% frames labelled
6366, 5541, 7617, 2530, 5114, 10038, 7008, 6233, 5708, 6543, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180712T131901
% frames labelled
6137, 6275, 5316, 6357, 6262, 5367, 4005, 5411, 5909, 4790, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180723T120810
% frames labelled
1569, 777, 1189, 4001, 1537, 821, 1092, 1506, 300, 348, 
% frames total
27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180723T120905
% frames labelled
882, 1328, 2650, 726, 4256, 2660, 1276, 907, 1480, 4592, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180723T121000
% frames labelled
716, 2041, 1386, 1714, 2338, 1493, 983, 1492, 2509, 691, 
% frames total
27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 27002, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T124941
% frames labelled
1997, 1999, 1002, 2499, 2898, 1243, 2151, 1621, 2842, 1802, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T124945
% frames labelled
939, 4575, 1640, 2991, 1802, 3649, 2778, 3109, 3210, 3666, 
% frames total
27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 27001, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T124951
% frames labelled
2295, 3067, 1721, 4106, 5430, 3280, 2455, 4477, 1710, 6446, 
% frames total
27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 27003, 

% experiment W:\Shir Ben Shaanan\Networks\Dark & Light\light\Assa_Males_Grouped_Unknown_RigA_20180726T133013
% frames labelled
